prog	rankval	mt	iu	okp	auc
342	TrinityFusion-C	2	8	0	1	0.53
343	TrinityFusion-C	5	8	1	0	0.58
344	TrinityFusion-C	6	8	1	1	0.57
345	TrinityFusion-C	2	9	0	0	0.57
346	TrinityFusion-C	2	9	0	1	0.55
347	TrinityFusion-C	4	9	1	0	0.61
348	TrinityFusion-C	5	9	1	1	0.6
349	TrinityFusion-C	2	10	0	0	0.61
350	TrinityFusion-C	2	10	0	1	0.6
351	TrinityFusion-C	4	10	1	0	0.67
352	TrinityFusion-C	4	10	1	1	0.65
353	MapSplice	12	3	0	0	0.12
354	MapSplice	11	3	0	1	0.12
355	MapSplice	13	3	1	0	0.12
356	MapSplice	13	3	1	1	0.12
357	MapSplice	9	4	0	0	0.26
358	MapSplice	8	4	0	1	0.26
359	MapSplice	13	4	1	0	0.26
360	MapSplice	12	4	1	1	0.26
361	MapSplice	10	5	0	0	0.33
362	MapSplice	10	5	0	1	0.33
363	MapSplice	12	5	1	0	0.33
364	MapSplice	12	5	1	1	0.33
365	MapSplice	9	6	0	0	0.39
366	MapSplice	9	6	0	1	0.39
367	MapSplice	11	6	1	0	0.4
368	MapSplice	11	6	1	1	0.4
369	MapSplice	7	7	0	0	0.45
370	MapSplice	7	7	0	1	0.45
371	MapSplice	11	7	1	0	0.46
372	MapSplice	11	7	1	1	0.46
373	MapSplice	5	8	0	0	0.49
374	MapSplice	6	8	0	1	0.5
375	MapSplice	10	8	1	0	0.51
376	MapSplice	10	8	1	1	0.51
377	MapSplice	4	9	0	0	0.52
378	MapSplice	5	9	0	1	0.52
379	MapSplice	10	9	1	0	0.53
380	MapSplice	10	9	1	1	0.53
381	MapSplice	3	10	0	0	0.56
382	MapSplice	4	10	0	1	0.56
383	MapSplice	10	10	1	0	0.57
384	MapSplice	10	10	1	1	0.57
385	TrinityFusion-UC	13	3	0	0	0.12
386	TrinityFusion-UC	13	3	0	1	0.12
387	TrinityFusion-UC	14	3	1	0	0.12
388	TrinityFusion-UC	14	3	1	1	0.12
389	TrinityFusion-UC	11	4	0	0	0.26
390	TrinityFusion-UC	11	4	0	1	0.26
391	TrinityFusion-UC	12	4	1	0	0.28
392	TrinityFusion-UC	13	4	1	1	0.26
393	TrinityFusion-UC	9	5	0	0	0.35
394	TrinityFusion-UC	8	5	0	1	0.35
395	TrinityFusion-UC	10	5	1	0	0.37
396	TrinityFusion-UC	10	5	1	1	0.35
397	TrinityFusion-UC	7	6	0	0	0.42
398	TrinityFusion-UC	6	6	0	1	0.42
399	TrinityFusion-UC	9	6	1	0	0.44
400	TrinityFusion-UC	9	6	1	1	0.42
401	TrinityFusion-UC	6	7	0	0	0.46
402	TrinityFusion-UC	6	7	0	1	0.46
403	TrinityFusion-UC	9	7	1	0	0.5
404	TrinityFusion-UC	9	7	1	1	0.48
405	TrinityFusion-UC	6	8	0	0	0.49
406	TrinityFusion-UC	4	8	0	1	0.51
407	TrinityFusion-UC	9	8	1	0	0.54
408	TrinityFusion-UC	9	8	1	1	0.53
409	TrinityFusion-UC	6	9	0	0	0.51
410	TrinityFusion-UC	4	9	0	1	0.53
411	TrinityFusion-UC	9	9	1	0	0.57
412	TrinityFusion-UC	9	9	1	1	0.56
413	TrinityFusion-UC	5	10	0	0	0.55
414	TrinityFusion-UC	3	10	0	1	0.57
415	TrinityFusion-UC	7	10	1	0	0.61
416	TrinityFusion-UC	7	10	1	1	0.61
417	PIZZLY	14	3	0	0	0.11
418	PIZZLY	14	3	0	1	0.11
419	PIZZLY	11	3	1	0	0.13
420	PIZZLY	10	3	1	1	0.13
