progname	min_thresh	ignoreUnsure	okpara	auc
InFusion	7	1	1	0.47
MapSplice	7	1	1	0.46
STARCHIP_csm10_pGm2_May012019	7	1	1	0.42
TrinityFusion-D	7	1	1	0.38
PRADA	7	1	1	0.36
TopHat-Fusion	7	1	1	0.36
PIZZLY	7	1	1	0.34
JAFFA-Direct	7	1	1	0.31
JAFFA-Assembly	7	1	1	0.27
ChimeraScan	7	1	1	0.19
FusionHunter	7	1	1	0.17
JAFFA-Hybrid	7	1	1	0.16
nFuse	7	1	1	0.11
deFuse	7	1	1	0.10
EricScript	7	1	1	0.05
STAR_FUSION_v1.5	7	1	0	0.84
ARRIBA	7	1	0	0.70
ARRIBA_hc	7	1	0	0.67
ChimPipe	7	1	0	0.55
STARSEQR	7	1	0	0.55
TrinityFusion-C	7	1	0	0.54
FUSIONCATCHER_v1.10_June192019	7	1	0	0.52
SOAP-fuse	7	1	0	0.51
TrinityFusion-UC	7	1	0	0.50
InFusion	7	1	0	0.47
MapSplice	7	1	0	0.46
STARCHIP_csm10_pGm2_May012019	7	1	0	0.42
TrinityFusion-D	7	1	0	0.39
PRADA	7	1	0	0.36
TopHat-Fusion	7	1	0	0.36
PIZZLY	7	1	0	0.35
JAFFA-Direct	7	1	0	0.31
JAFFA-Assembly	7	1	0	0.27
ChimeraScan	7	1	0	0.19
FusionHunter	7	1	0	0.16
JAFFA-Hybrid	7	1	0	0.16
nFuse	7	1	0	0.11
deFuse	7	1	0	0.10
EricScript	7	1	0	0.05
STAR_FUSION_v1.5	8	0	0	0.74
TrinityFusion-C	8	0	0	0.55
SOAP-fuse	8	0	0	0.52
FUSIONCATCHER_v1.10_June192019	8	0	0	0.50
MapSplice	8	0	0	0.49
TrinityFusion-UC	8	0	0	0.49
ChimPipe	8	0	0	0.47
ARRIBA_hc	8	0	0	0.45
ARRIBA	8	0	0	0.44
InFusion	8	0	0	0.43
TrinityFusion-D	8	0	0	0.40
STARSEQR	8	0	0	0.36
PRADA	8	0	0	0.32
JAFFA-Direct	8	0	0	0.30
