progname	min_thresh	ignoreUnsure	okpara	auc
ARRIBA_hc	5	1	0	0.68
PRADA	5	1	0	0.60
FUSIONCATCHER_v1.10_June192019	5	1	0	0.54
PIZZLY	5	1	0	0.52
FusionHunter	5	1	0	0.49
STARCHIP_csm10_pGm2_May012019	5	1	0	0.42
JAFFA-Assembly	5	1	0	0.39
JAFFA-Hybrid	5	1	0	0.39
InFusion	5	1	0	0.36
MapSplice	5	1	0	0.36
TrinityFusion-UC	5	1	0	0.32
TrinityFusion-C	5	1	0	0.30
TrinityFusion-D	5	1	0	0.25
ChimeraScan	5	1	0	0.24
deFuse	5	1	0	0.24
nFuse	5	1	0	0.23
TopHat-Fusion	5	1	0	0.22
EricScript	5	1	0	0.17
STAR_FUSION_v1.5	6	1	1	0.81
ChimPipe	6	1	1	0.79
SOAP-fuse	6	1	1	0.77
STARSEQR	6	1	1	0.77
ARRIBA	6	1	1	0.73
