prog	rankval	mt	iu	okp	auc
451	MapSplice	15	3	1	0	0.21
452	MapSplice	15	3	1	1	0.21
453	MapSplice	14	4	0	0	0.3
454	MapSplice	14	4	0	1	0.3
455	MapSplice	14	4	1	0	0.3
456	MapSplice	14	4	1	1	0.3
457	MapSplice	14	5	0	0	0.36
458	MapSplice	14	5	0	1	0.36
459	MapSplice	15	5	1	0	0.36
460	MapSplice	15	5	1	1	0.36
461	MapSplice	14	6	0	0	0.4
462	MapSplice	14	6	0	1	0.4
463	MapSplice	15	6	1	0	0.4
464	MapSplice	15	6	1	1	0.4
465	MapSplice	13	7	0	0	0.43
466	MapSplice	13	7	0	1	0.43
467	MapSplice	14	7	1	0	0.43
468	MapSplice	14	7	1	1	0.43
469	MapSplice	14	8	0	0	0.45
470	MapSplice	14	8	0	1	0.45
471	MapSplice	14	8	1	0	0.45
472	MapSplice	14	8	1	1	0.45
473	MapSplice	11	9	0	0	0.51
474	MapSplice	11	9	0	1	0.51
475	MapSplice	14	9	1	0	0.51
476	MapSplice	14	9	1	1	0.51
477	MapSplice	11	10	0	0	0.57
478	MapSplice	11	10	0	1	0.57
479	MapSplice	12	10	1	0	0.57
480	MapSplice	12	10	1	1	0.57
481	TrinityFusion-UC	16	3	0	0	0.2
482	TrinityFusion-UC	16	3	0	1	0.2
483	TrinityFusion-UC	16	3	1	0	0.2
484	TrinityFusion-UC	16	3	1	1	0.2
485	TrinityFusion-UC	16	4	0	0	0.27
486	TrinityFusion-UC	16	4	0	1	0.27
487	TrinityFusion-UC	16	4	1	0	0.27
488	TrinityFusion-UC	16	4	1	1	0.27
489	TrinityFusion-UC	16	5	0	0	0.32
490	TrinityFusion-UC	16	5	0	1	0.32
491	TrinityFusion-UC	16	5	1	0	0.32
492	TrinityFusion-UC	16	5	1	1	0.32
493	TrinityFusion-UC	16	6	0	0	0.36
494	TrinityFusion-UC	16	6	0	1	0.36
495	TrinityFusion-UC	16	6	1	0	0.37
496	TrinityFusion-UC	16	6	1	1	0.37
497	TrinityFusion-UC	15	7	0	0	0.39
498	TrinityFusion-UC	15	7	0	1	0.39
499	TrinityFusion-UC	16	7	1	0	0.39
500	TrinityFusion-UC	16	7	1	1	0.39
501	TrinityFusion-UC	15	8	0	0	0.42
502	TrinityFusion-UC	15	8	0	1	0.42
503	TrinityFusion-UC	16	8	1	0	0.42
504	TrinityFusion-UC	16	8	1	1	0.42
505	TrinityFusion-UC	16	9	0	0	0.45
506	TrinityFusion-UC	16	9	0	1	0.45
507	TrinityFusion-UC	16	9	1	0	0.45
508	TrinityFusion-UC	16	9	1	1	0.45
509	TrinityFusion-UC	16	10	0	0	0.42
510	TrinityFusion-UC	16	10	0	1	0.42
511	TrinityFusion-UC	15	10	1	0	0.48
512	TrinityFusion-UC	15	10	1	1	0.48
513	TrinityFusion-C	17	3	0	0	0.18
514	TrinityFusion-C	17	3	0	1	0.19
515	TrinityFusion-C	17	3	1	0	0.18
516	TrinityFusion-C	17	3	1	1	0.19
517	TrinityFusion-C	17	4	0	0	0.24
518	TrinityFusion-C	17	4	0	1	0.26
519	TrinityFusion-C	17	4	1	0	0.24
520	TrinityFusion-C	17	4	1	1	0.26
521	TrinityFusion-C	17	5	0	0	0.3
522	TrinityFusion-C	17	5	0	1	0.3
523	TrinityFusion-C	17	5	1	0	0.3
524	TrinityFusion-C	17	5	1	1	0.3
525	TrinityFusion-C	17	6	0	0	0.34
526	TrinityFusion-C	17	6	0	1	0.34
527	TrinityFusion-C	17	6	1	0	0.34
528	TrinityFusion-C	17	6	1	1	0.34
529	TrinityFusion-C	17	7	0	0	0.37
530	TrinityFusion-C	17	7	0	1	0.37
531	TrinityFusion-C	17	7	1	0	0.37
532	TrinityFusion-C	17	7	1	1	0.37
533	TrinityFusion-C	17	8	0	0	0.39
534	TrinityFusion-C	17	8	0	1	0.39
535	TrinityFusion-C	17	8	1	0	0.39
536	TrinityFusion-C	17	8	1	1	0.39
537	TrinityFusion-C	15	9	0	0	0.45
538	TrinityFusion-C	15	9	0	1	0.45
539	TrinityFusion-C	15	9	1	0	0.45
540	TrinityFusion-C	15	9	1	1	0.45
541	TrinityFusion-C	15	10	0	0	0.42
542	TrinityFusion-C	15	10	0	1	0.42
543	TrinityFusion-C	16	10	1	0	0.47
544	TrinityFusion-C	16	10	1	1	0.47
545	ChimeraScan	18	3	0	0	0.15
546	ChimeraScan	19	3	0	1	0.15
547	ChimeraScan	18	3	1	0	0.16
548	ChimeraScan	18	3	1	1	0.16
549	ChimeraScan	18	4	0	0	0.2
550	ChimeraScan	18	4	0	1	0.2
551	ChimeraScan	18	4	1	0	0.2
552	ChimeraScan	18	4	1	1	0.2
553	ChimeraScan	19	5	0	0	0.23
554	ChimeraScan	18	5	0	1	0.23
555	ChimeraScan	19	5	1	0	0.24
556	ChimeraScan	18	5	1	1	0.24
557	ChimeraScan	20	6	0	0	0.25
558	ChimeraScan	20	6	0	1	0.25
559	ChimeraScan	20	6	1	0	0.26
560	ChimeraScan	19	6	1	1	0.26
561	ChimeraScan	19	7	0	0	0.27
562	ChimeraScan	19	7	0	1	0.27
563	ChimeraScan	19	7	1	0	0.29
564	ChimeraScan	18	7	1	1	0.29
565	ChimeraScan	19	8	0	0	0.28
566	ChimeraScan	19	8	0	1	0.28
567	ChimeraScan	19	8	1	0	0.3
568	ChimeraScan	18	8	1	1	0.3
569	ChimeraScan	19	9	0	0	0.29
570	ChimeraScan	19	9	0	1	0.29
571	ChimeraScan	20	9	1	0	0.3
572	ChimeraScan	20	9	1	1	0.3
573	ChimeraScan	20	10	0	0	0.26
574	ChimeraScan	20	10	0	1	0.26
575	ChimeraScan	20	10	1	0	0.29
576	ChimeraScan	20	10	1	1	0.29
577	TopHat-Fusion	19	3	0	0	0.15
578	TopHat-Fusion	20	3	0	1	0.15
579	TopHat-Fusion	20	3	1	0	0.15
580	TopHat-Fusion	20	3	1	1	0.15
581	TopHat-Fusion	20	4	0	0	0.19
582	TopHat-Fusion	19	4	0	1	0.19
583	TopHat-Fusion	22	4	1	0	0.19
