sample	prog	time_h
G26249.KMS-26.2	ARRIBA	1.00
G26249.KMS-26.2	PIZZLY	0.98
G26249.KMS-26.2	STAR_FUSION_v1.5_hg19_Apr042019	3.48
G26249.KMS-26.2	STARCHIP	1.06
G26249.KMS-26.2	STARSEQR	2.72
G26249.KMS-26.2	TRINITY_FUSION_C_hg19	38.74
G26249.KMS-26.2	TRINITY_FUSION_hg19_Apr092019	78.35
G26249.KMS-26.2	TRINITY_FUSION_D_hg19	90.61
G26249.KMS-26.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.04
G26253.KMS-34.2	TOPHAT_FUSION	38.53
G26253.KMS-34.2	SOAP_FUSE	27.86
G26253.KMS-34.2	CHIMERASCAN	29.25
G26253.KMS-34.2	PRADA	14.36
G26253.KMS-34.2	DEFUSE	21.57
G26253.KMS-34.2	ERICSCRIPT	7.03
G26253.KMS-34.2	FUSION_CATCHER_V0994e	10.91
G26253.KMS-34.2	MAPSPLICE	27.51
G26253.KMS-34.2	FUSIONHUNTER	12.02
G26253.KMS-34.2	NFUSE	7.36
G26253.KMS-34.2	JAFFA_ASSEMBLY	38.06
G26253.KMS-34.2	JAFFA_HYBRID	85.50
G26253.KMS-34.2	JAFFA_DIRECT	9.89
G26253.KMS-34.2	INFUSION_CF3	79.84
G26253.KMS-34.2	CHIMPIPE	6.21
G26253.KMS-34.2	ARRIBA	1.03
G26253.KMS-34.2	PIZZLY	0.74
G26253.KMS-34.2	STAR_FUSION_v1.5_hg19_Apr042019	2.87
G26253.KMS-34.2	STARCHIP	0.90
G26253.KMS-34.2	STARSEQR	1.97
G26253.KMS-34.2	TRINITY_FUSION_C_hg19	40.11
G26253.KMS-34.2	TRINITY_FUSION_hg19_Apr092019	78.08
G26253.KMS-34.2	TRINITY_FUSION_D_hg19	84.77
G26253.KMS-34.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G26262.NCI-H889.2	TOPHAT_FUSION	35.81
G26262.NCI-H889.2	SOAP_FUSE	21.56
G26262.NCI-H889.2	CHIMERASCAN	25.35
G26262.NCI-H889.2	PRADA	12.87
G26262.NCI-H889.2	DEFUSE	19.73
G26262.NCI-H889.2	ERICSCRIPT	8.53
G26262.NCI-H889.2	FUSION_CATCHER_V0994e	7.27
G26262.NCI-H889.2	MAPSPLICE	41.38
G26262.NCI-H889.2	FUSIONHUNTER	9.58
G26262.NCI-H889.2	NFUSE	11.13
G26262.NCI-H889.2	JAFFA_ASSEMBLY	22.03
G26262.NCI-H889.2	JAFFA_HYBRID	77.54
G26262.NCI-H889.2	JAFFA_DIRECT	11.14
G26262.NCI-H889.2	INFUSION_CF3	67.53
G26262.NCI-H889.2	CHIMPIPE	25.76
G26262.NCI-H889.2	ARRIBA	0.98
G26262.NCI-H889.2	PIZZLY	0.58
G26262.NCI-H889.2	STAR_FUSION_v1.5_hg19_Apr042019	2.55
G26262.NCI-H889.2	STARCHIP	0.93
G26262.NCI-H889.2	STARSEQR	1.77
G26262.NCI-H889.2	TRINITY_FUSION_C_hg19	47.76
G26262.NCI-H889.2	TRINITY_FUSION_hg19_Apr092019	96.86
G26262.NCI-H889.2	TRINITY_FUSION_D_hg19	93.48
G26262.NCI-H889.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.04
G27214.PC-3.1	TOPHAT_FUSION	32.69
G27214.PC-3.1	SOAP_FUSE	19.94
G27214.PC-3.1	CHIMERASCAN	22.40
G27214.PC-3.1	PRADA	17.13
G27214.PC-3.1	DEFUSE	13.29
G27214.PC-3.1	ERICSCRIPT	7.93
G27214.PC-3.1	FUSION_CATCHER_V0994e	5.02
G27214.PC-3.1	MAPSPLICE	39.24
G27214.PC-3.1	FUSIONHUNTER	9.54
G27214.PC-3.1	NFUSE	6.74
G27214.PC-3.1	JAFFA_ASSEMBLY	18.13
G27214.PC-3.1	JAFFA_HYBRID	77.76
G27214.PC-3.1	JAFFA_DIRECT	11.30
G27214.PC-3.1	INFUSION_CF3	49.09
G27214.PC-3.1	CHIMPIPE	20.44
G27214.PC-3.1	ARRIBA	0.96
G27214.PC-3.1	PIZZLY	0.79
